|claim_number|trigger_type |claim_type        |
|2883045632  |Approve      |CLAIM REOPEN      |
|2890050754  |Approve      |NEW               |
|2890050825  |investigation|NEW               |
|2883045572  |Approve      |CLAIM REOPEN      |
|2890050753  |Approve      |NEW               |
|2864029228  |Approve      |PRE AND POST CLAIM|
|2890050751  |Approve      |NEW               |
|2876149017  |investigation|NEW               |
|2883045661  |Approve      |NEW               |
|2883045718  |Approve      |NEW               |
|2883045717  |Approve      |NEW               |
|2883045663  |Approve      |NEW               |
|2883045671  |investigation|NEW               |
|2883045672  |Approve      |NEW               |
|2883045673  |investigation|NEW               |
|2883045727  |Approve      |NEW               |
|2883045728  |Approve      |NEW               |
|2883045729  |Repudiation  |NEW               |
|2883045723  |Approve      |NEW               |
|2883045776  |Approve      |NEW               |
|2883045772  |Approve      |NEW               |
|2883045774  |Approve      |NEW               |
|2892003095  |rejectback   |NEW               |
|2883045775  |Query        |NEW               |
|2883045777  |Approve      |NEW               |
|2883045779  |Approve      |NEW               |
|2883045781  |Approve      |NEW               |
|2883045724  |Approve      |NEW               |
|2883045725  |Repudiation  |NEW               |
|2883045778  |Approve      |NEW               |
|2883045782  |Approve      |NEW               |
|2825184485  |Approve      |NEW               |
|2825184491  |Approve      |NEW               |
|2825184099  |Approve      |NEW               |
|2825184904  |Approve      |NEW               |
|2890049182  |Approve      |NEW               |
|2876146521  |Approve      |NEW               |
|2890050146  |Approve      |NEW               |
|2876143638  |Approve      |NEW               |
|2876147301  |Approve      |NEW               |
|2876147274  |Approve      |NEW               |
|2876147029  |Approve      |NEW               |
|2825185241  |Approve      |NEW               |
|2846001841  |Approve      |NEW               |
|2890048768  |Approve      |NEW               |
|2825184695  |Approve      |NEW               |
|2876146467  |Approve      |NEW               |
|2846001849  |Approve      |NEW               |
|2846001637  |Approve      |NEW               |
|2876147935  |Approve      |NEW               |
|2876146459  |Approve      |NEW               |
|2876144954  |Approve      |NEW               |
|2876147033  |Approve      |NEW               |
|2883045789  |Approve      |NEW               |
|2876147508  |Approve      |NEW               |
|2876147829  |Approve      |NEW               |
|2883045790  |Approve      |NEW               |
|2883045787  |Approve      |NEW               |
|2883045791  |Approve      |NEW               |
|2876147016  |Approve      |NEW               |
|2883045798  |Approve      |NEW               |
|2872000525  |rejectback   |NEW               |
|2876147474  |Approve      |NEW               |
|2876147446  |Approve      |NEW               |
|2876146864  |Approve      |NEW               |
|2876146049  |Approve      |NEW               |
|2883045801  |Approve      |NEW               |
|2883045788  |Approve      |NEW               |
|2876148164  |Approve      |NEW               |
|2825185407  |Approve      |NEW               |
|2825184858  |Approve      |NEW               |
|2883045799  |Query        |NEW               |
|2883045800  |Approve      |NEW               |
|2883045802  |Approve      |NEW               |
|2883045803  |Approve      |NEW               |
|2883045654  |Query        |NEW               |
|2883045656  |Repudiation  |NEW               |
|2876143829  |Approve      |NEW               |
|2883045657  |Query        |NEW               |
|2883045659  |investigation|NEW               |
|2890049566  |Approve      |NEW               |
|2883045660  |Query        |NEW               |
|2890048279  |Approve      |NEW               |
|2883045658  |Query        |NEW               |
|2883045662  |Approve      |NEW               |
|2883045675  |Approve      |NEW               |
|2825184417  |Approve      |NEW               |
|2890049136  |Approve      |NEW               |
|2876148055  |Approve      |NEW               |
|2876147343  |Approve      |NEW               |
|2876148245  |Approve      |NEW               |
|2876147827  |Approve      |NEW               |
|2876147636  |Approve      |NEW               |
|2876147191  |Approve      |NEW               |
|2883045844  |Approve      |NEW               |
|2876147159  |Approve      |NEW               |
|2876146371  |Approve      |NEW               |
|2883045854  |Approve      |NEW               |
|2864029102  |Approve      |NEW               |
|2883045862  |Approve      |NEW               |
|2883045847  |Query        |NEW               |
|2883045863  |Approve      |NEW               |
|2883045869  |Approve      |NEW               |
|2883045871  |Repudiation  |NEW               |
|2864029081  |Approve      |NEW               |
|2883045865  |Approve      |NEW               |
|2890050998  |Approve      |NEW               |
|2890050907  |Query        |PRE AND POST CLAIM|
|2890050985  |Approve      |NEW               |
|2883045868  |investigation|NEW               |
|2890050758  |Approve      |NEW               |
|2890051024  |Approve      |PRE AND POST CLAIM|
|2876148945  |Approve      |PRE AND POST CLAIM|
|2883045867  |Approve      |NEW               |
|2883045808  |Approve      |NEW               |
|2883045807  |Approve      |NEW               |
|2883045806  |Repudiation  |NEW               |
|2883045809  |Approve      |NEW               |
|2883045810  |Repudiation  |NEW               |
|2876149387  |Approve      |NEW               |
|2876149326  |Approve      |PRE AND POST CLAIM|
|2890050990  |Approve      |NEW               |
|2876149336  |Approve      |PRE AND POST CLAIM|
|2876149340  |Approve      |NEW               |
|2890050299  |Approve      |NEW               |
|2890050259  |Approve      |NEW               |
|2876148417  |Approve      |NEW               |
|2864029161  |Approve      |NEW               |
|2890049458  |Approve      |NEW               |
|2890050983  |Approve      |NEW               |
|2890049363  |Approve      |NEW               |
|2876149359  |Query        |NEW               |
|2876146696  |Approve      |NEW               |
|2876146891  |Approve      |NEW               |
|2876146886  |Approve      |NEW               |
|2876146045  |Approve      |NEW               |
|2890050981  |Query        |NEW               |
|2876142653  |Approve      |NEW               |
|2890050984  |Approve      |NEW               |
|2892003032  |Approve      |NEW               |
|2876147746  |Approve      |NEW               |
|2890050872  |investigation|NEW               |
|2876148083  |Approve      |NEW               |
|2876143939  |Approve      |NEW               |
|2890049158  |Approve      |NEW               |
|2876147512  |Approve      |NEW               |
|2890049830  |Approve      |NEW               |
|2890050750  |Approve      |NEW               |
|2876147398  |Approve      |NEW               |
|2890050823  |Repudiation  |NEW               |
|2876146441  |Approve      |NEW               |
|2890050609  |Approve      |NEW               |
|2890048846  |Approve      |NEW               |
|2876146311  |Approve      |NEW               |
|2876147791  |Approve      |NEW               |
|2890050931  |investigation|NEW               |
|2876148259  |Approve      |NEW               |
|2825184714  |Approve      |NEW               |
|2876146916  |Approve      |NEW               |
|2876146449  |Approve      |NEW               |
|2890048763  |Approve      |NEW               |
|2883045818  |Approve      |NEW               |
|2883045816  |Repudiation  |NEW               |
|2883045811  |Approve      |NEW               |
|2883045817  |Approve      |NEW               |
|2883045819  |Query        |NEW               |
|2883044958  |Approve      |NEW               |
|2883045655  |Approve      |NEW               |
|2883045848  |Approve      |NEW               |
|2883045820  |Query        |NEW               |
|2883045821  |Query        |NEW               |
|2883045822  |Approve      |NEW               |
|2883045823  |Query        |NEW               |
|2883045829  |Approve      |NEW               |
|2883045830  |Query        |NEW               |
|2883045831  |Approve      |NEW               |
|2883045826  |Approve      |NEW               |
|2883045828  |Approve      |NEW               |
|2883045839  |Approve      |NEW               |
|2883045836  |Repudiation  |NEW               |
|2883045834  |Approve      |NEW               |
|2883045842  |Approve      |NEW               |
|2883045846  |Approve      |NEW               |
|2883045843  |Approve      |NEW               |
|2883045845  |Repudiation  |NEW               |
|2883045857  |Approve      |NEW               |
|2883045855  |Approve      |NEW               |
|2883045858  |Approve      |NEW               |
|2883045859  |Approve      |NEW               |
|2883045860  |Approve      |NEW               |
|2883045861  |Approve      |NEW               |
|2883045870  |Repudiation  |NEW               |
|2883045872  |Approve      |NEW               |
|2883045873  |Approve      |NEW               |
|2883045864  |Approve      |NEW               |
|2883045874  |Approve      |NEW               |
|2883045875  |Approve      |NEW               |
|2876145765  |Approve      |NEW               |
|2846001964  |investigation|NEW               |
|2846002007  |investigation|NEW               |
|2846001958  |investigation|NEW               |
|2846001981  |investigation|NEW               |
|2846001987  |investigation|NEW               |
|2890050989  |Approve      |NEW               |
|2890051025  |Repudiation  |NEW               |
|2890050726  |investigation|NEW               |
|2890050904  |investigation|NEW               |
|2890050807  |investigation|NEW               |
|2890050848  |Approve      |NEW               |
|2890051017  |investigation|NEW               |
|2890050778  |investigation|NEW               |
|2890050816  |investigation|NEW               |
|2876145571  |Approve      |NEW               |
|2864029018  |Approve      |NEW               |
|2890049409  |Approve      |NEW               |
|2876145691  |Approve      |NEW               |
|2876142113  |Approve      |NEW               |
|2890048839  |Approve      |NEW               |
|2890049298  |Approve      |NEW               |
|2876145048  |Approve      |NEW               |
|2876145393  |Approve      |NEW               |
|2890048845  |Approve      |NEW               |
|2876143297  |Approve      |NEW               |
|2876143647  |Approve      |NEW               |
|2876144638  |Approve      |NEW               |
|2876145252  |Approve      |NEW               |
|2876146629  |Approve      |NEW               |
|2876148938  |Approve      |ADDENDUM          |
|2890048544  |Approve      |NEW               |
|2825184819  |Approve      |NEW               |
|2876146610  |Approve      |NEW               |
|2876147459  |Approve      |NEW               |
|2876149400  |Repudiation  |NEW               |
|2876146710  |Approve      |NEW               |
|2876148943  |Approve      |PRE AND POST CLAIM|
|2890049652  |Approve      |NEW               |
|2876147358  |Approve      |NEW               |
|2876146035  |Approve      |NEW               |
|2876149344  |Approve      |NEW               |
|2890050915  |Approve      |NEW               |
|2876148946  |Repudiation  |NEW               |
|2876148944  |Approve      |NEW               |
|2876149271  |Approve      |NEW               |
|2876146369  |Approve      |NEW               |
|2876149283  |Approve      |NEW               |
|2876149339  |Approve      |NEW               |
|2890050850  |Approve      |PRE AND POST CLAIM|
|2876149281  |Approve      |NEW               |
|2876149298  |Approve      |ADDENDUM          |
|2876149355  |Approve      |PRE AND POST CLAIM|
|2846001998  |Approve      |PRE AND POST CLAIM|
|2876149360  |Approve      |NEW               |
|2846001984  |Approve      |PRE AND POST CLAIM|
|2876149103  |Approve      |PRE AND POST CLAIM|
|2883045416  |Approve      |NEW               |
|2846001978  |investigation|NEW               |
|2846001957  |investigation|NEW               |
|2890050866  |Repudiation  |NEW               |
|2876149367  |investigation|NEW               |
|2883045726  |Approve      |NEW               |
|2876149236  |Approve      |PRE AND POST CLAIM|
|2846001982  |investigation|NEW               |
|2846001963  |investigation|NEW               |
|2876149429  |Approve      |NEW               |
|2876149377  |Approve      |PRE AND POST CLAIM|
|2876149411  |Approve      |NEW               |
|2846001989  |investigation|NEW               |
|2890051000  |Approve      |PRE AND POST CLAIM|
|2876149202  |Repudiation  |NEW               |
|2883045886  |Approve      |NEW               |
|2883045880  |Approve      |NEW               |
|2883045896  |Approve      |NEW               |
|2890050827  |investigation|NEW               |
|2883045879  |Approve      |NEW               |
|2883045883  |Approve      |NEW               |
|2890050803  |investigation|NEW               |
|2846001992  |Repudiation  |NEW               |
|2876149193  |Approve      |NEW               |
|2890050745  |investigation|NEW               |
|2890050812  |investigation|NEW               |
|2876147854  |Approve      |CLAIM REOPEN      |
|2890050886  |investigation|NEW               |
|2876149229  |Repudiation  |NEW               |
|2883045884  |Query        |NEW               |
|2876145505  |Approve      |CLAIM REOPEN      |
|2876149252  |Approve      |NEW               |
|2825186085  |Approve      |PRE AND POST CLAIM|
|2876149328  |investigation|NEW               |
|2876149332  |investigation|NEW               |
|2883045885  |Approve      |NEW               |
|2883045887  |Approve      |NEW               |
|2846002006  |Approve      |PRE AND POST CLAIM|
|2876149433  |Approve      |PRE AND POST CLAIM|
|2876149496  |Approve      |NEW               |
|2876149497  |Approve      |PRE AND POST CLAIM|
|2883045903  |Approve      |NEW               |
|2876149398  |Approve      |PRE AND POST CLAIM|
|2864029206  |Approve      |NEW               |
|2864029208  |Approve      |NEW               |
|2883045897  |Approve      |NEW               |
|2890050873  |investigation|NEW               |
|2876149212  |Query        |NEW               |
|2864029217  |investigation|NEW               |
|2890050909  |investigation|NEW               |
|2876142609  |Approve      |NEW               |
|2890050840  |investigation|NEW               |
|2876149563  |Approve      |PRE AND POST CLAIM|
|2864029221  |investigation|NEW               |
|2890050811  |investigation|NEW               |
|2876140263  |Approve      |NEW               |
|2876145816  |Approve      |NEW               |
|2864029223  |Approve      |PRE AND POST CLAIM|
|2876145761  |Approve      |NEW               |
|2890050879  |investigation|NEW               |
|2876147868  |Approve      |CLAIM REOPEN      |
|2890051014  |investigation|NEW               |
|2890050838  |investigation|NEW               |
|2876149577  |Query        |NEW               |
|2864029224  |Approve      |NEW               |
|2883045899  |Approve      |NEW               |
|2825185491  |Approve      |NEW               |
|2890050730  |investigation|NEW               |
|2883045916  |Approve      |NEW               |
|2864029235  |Repudiation  |PRE AND POST CLAIM|
|2890050743  |investigation|NEW               |
|2876145551  |Approve      |NEW               |
|2876146676  |Approve      |NEW               |
|2876149273  |Query        |NEW               |
|2883045920  |Repudiation  |NEW               |
|2876149043  |investigation|NEW               |
|2876149040  |investigation|NEW               |
|2864029238  |investigation|PRE AND POST CLAIM|
|2890049386  |Approve      |NEW               |
|2883045877  |Approve      |NEW               |
|2864029240  |Approve      |PRE AND POST CLAIM|
|2864029245  |investigation|NEW               |
|2883045882  |Approve      |NEW               |
|2876148931  |Approve      |NEW               |
|2883045878  |Approve      |NEW               |
|2876149147  |investigation|CLAIM REOPEN      |
|2883045881  |investigation|NEW               |
|2864029196  |Repudiation  |NEW               |
|2825186076  |Approve      |NEW               |
|2883045938  |Repudiation  |NEW               |
|2876149026  |Approve      |PRE AND POST CLAIM|
|2864029241  |investigation|NEW               |
|2825186210  |Approve      |NEW               |
|2876148969  |Approve      |NEW               |
|2876146611  |Approve      |NEW               |
|2825186211  |Query        |NEW               |
|2890048462  |Approve      |NEW               |
|2825186208  |Approve      |NEW               |
|2852004149  |investigation|NEW               |
|2883045888  |Approve      |NEW               |
|2883045889  |Query        |NEW               |
|2876148064  |investigation|NEW               |
|2852004153  |investigation|NEW               |
|2883045890  |Approve      |NEW               |
|2883045892  |Approve      |NEW               |
|2883045900  |Approve      |NEW               |
|2883045901  |Approve      |NEW               |
|2883045902  |Approve      |NEW               |
|2876148704  |investigation|NEW               |
|2890049313  |Approve      |NEW               |
|2883045906  |Query        |NEW               |
|2846001972  |investigation|CLAIM REOPEN      |
|2825185290  |Approve      |NEW               |
|2876149667  |Repudiation  |NEW               |
|2846001977  |investigation|NEW               |
|2890051015  |investigation|NEW               |
|2876149341  |investigation|NEW               |
|2876149631  |Approve      |NEW               |
|2883043726  |investigation|NEW               |
|2876149335  |investigation|NEW               |
|2883045891  |Approve      |NEW               |
|2876146444  |Approve      |NEW               |
|2883045893  |Approve      |NEW               |
|2883045898  |investigation|NEW               |
|2883045908  |Approve      |NEW               |
|2883045909  |Repudiation  |NEW               |
|2876146805  |Approve      |NEW               |
|2883045910  |Approve      |NEW               |
|2876149596  |Approve      |PRE AND POST CLAIM|
|2876149613  |Approve      |PRE AND POST CLAIM|
|2883045911  |Approve      |NEW               |
|2876149403  |Approve      |PRE AND POST CLAIM|
|2883045912  |Approve      |NEW               |
|2876147960  |Approve      |NEW               |
|2890049248  |Approve      |NEW               |
|2876146041  |Approve      |NEW               |
|2876149231  |Approve      |NEW               |
|2890050635  |investigation|NEW               |
|2876149659  |Query        |NEW               |
|2876146711  |Approve      |NEW               |
|2883045921  |Approve      |NEW               |
|2883045914  |Approve      |NEW               |
|2883045913  |Approve      |NEW               |
|2883045915  |Approve      |NEW               |
|2883045919  |Approve      |NEW               |
|2876149629  |Repudiation  |NEW               |
|2876149610  |Approve      |PRE AND POST CLAIM|
|2883045922  |Approve      |NEW               |
|2883045923  |Approve      |NEW               |
|2883045924  |Approve      |NEW               |
|2883045926  |Approve      |NEW               |
|2883045928  |Approve      |NEW               |
|2890051141  |Approve      |NEW               |
|2825185680  |Approve      |NEW               |
|2883045929  |Approve      |NEW               |
|2876148509  |Approve      |NEW               |
|2876149624  |Approve      |PRE AND POST CLAIM|
|2825186123  |Approve      |NEW               |
|2864029175  |Approve      |NEW               |
|2876148559  |Approve      |NEW               |
|2876149569  |Approve      |PRE AND POST CLAIM|
|2825184129  |Repudiation  |NEW               |
|2876147539  |Approve      |NEW               |
|2876149642  |Approve      |NEW               |
|2876148575  |investigation|NEW               |
|2890050956  |Approve      |NEW               |
|2890050071  |Approve      |NEW               |
|2876149154  |Approve      |NEW               |
|2876149655  |Approve      |PRE AND POST CLAIM|
|2876146921  |Approve      |NEW               |
|2892003114  |Query        |NEW               |
|2890049614  |Approve      |NEW               |
|2876149640  |Approve      |NEW               |
|2876149365  |investigation|NEW               |
|2825186120  |Approve      |NEW               |
|2876149351  |investigation|NEW               |
|2876148592  |Query        |NEW               |
|2892003097  |investigation|NEW               |
|2876149645  |Repudiation  |NEW               |
|2876148511  |Approve      |NEW               |
|2825186199  |Approve      |NEW               |
|2876147954  |Approve      |NEW               |
|2890051186  |Query        |NEW               |
|2876148984  |Approve      |NEW               |
|2892003028  |Approve      |NEW               |
|2876149345  |Approve      |NEW               |
|2876149343  |investigation|NEW               |
|2876149207  |investigation|NEW               |
|2876149167  |Repudiation  |NEW               |
|2876149099  |Query        |NEW               |
|2876149164  |Repudiation  |NEW               |
|2876148175  |Approve      |NEW               |
|2876148621  |Approve      |NEW               |
|2876149033  |investigation|NEW               |
|2876148987  |investigation|CLAIM REOPEN      |
|2846002027  |Approve      |NEW               |
|2846002025  |investigation|NEW               |
|2876149115  |investigation|NEW               |
|2892003119  |Approve      |NEW               |
|2876149213  |Approve      |NEW               |
|2890050892  |investigation|NEW               |
|2876149186  |Approve      |PRE AND POST CLAIM|
|2890051004  |investigation|NEW               |
|2876149170  |Query        |NEW               |
|2890050959  |Repudiation  |NEW               |
|2846002018  |investigation|NEW               |
|2876149245  |investigation|NEW               |
|2890050999  |Repudiation  |NEW               |
|2890051204  |investigation|NEW               |
|2890049636  |Repudiation  |NEW               |
|2876149407  |Query        |NEW               |
|2883045931  |Approve      |NEW               |
|2883045933  |Approve      |NEW               |
|2883045934  |Approve      |NEW               |
|2883045936  |Approve      |NEW               |
|2876149289  |Approve      |PRE AND POST CLAIM|
|2883045939  |Approve      |NEW               |
|2876149334  |Query        |NEW               |
|2876146827  |Approve      |NEW               |
|2876145781  |Approve      |NEW               |
|2876147249  |Approve      |NEW               |
|2890049873  |Approve      |NEW               |
|2890049776  |Approve      |NEW               |
|2876146363  |Approve      |NEW               |
|2825184848  |Approve      |NEW               |
|2890049019  |Approve      |NEW               |
|2876147925  |Approve      |NEW               |
|2864029080  |Approve      |NEW               |
|2876146912  |Approve      |NEW               |
|2876147320  |Approve      |NEW               |
|2890049179  |Approve      |NEW               |
|2876147707  |Approve      |NEW               |
|2876145672  |Approve      |NEW               |
|2876146844  |Approve      |NEW               |
|2876147795  |Approve      |NEW               |
|2890049927  |Approve      |NEW               |
|2890049509  |Approve      |NEW               |
|2876146719  |Approve      |NEW               |
|2876147394  |Approve      |NEW               |
|2876146321  |Approve      |NEW               |
|2876146755  |Approve      |NEW               |
|2876147759  |Approve      |NEW               |
|2876142433  |Approve      |NEW               |
|2876145748  |Approve      |NEW               |
|2876146752  |Approve      |NEW               |
|2876147756  |Approve      |NEW               |
|2890049788  |Approve      |NEW               |
|2876146747  |Approve      |NEW               |
|2876145693  |Approve      |NEW               |
|2876147970  |Approve      |NEW               |
|2876147559  |Approve      |NEW               |
|2846001886  |Approve      |NEW               |
|2876143567  |Approve      |NEW               |
|2825185086  |Approve      |NEW               |
|2876146476  |Approve      |NEW               |
|2890049371  |Approve      |NEW               |
|2846001782  |Approve      |NEW               |
|2890048665  |Approve      |NEW               |
|2890049887  |Approve      |NEW               |
|2890050724  |investigation|NEW               |
|2890050876  |investigation|NEW               |
|2890050789  |Approve      |NEW               |
|2890050732  |investigation|NEW               |
|2890050868  |investigation|NEW               |
|2890050867  |investigation|NEW               |
|2890051008  |Query        |NEW               |
|2890051032  |Query        |NEW               |
|2890051144  |investigation|NEW               |
|2890051010  |Approve      |NEW               |
|2890051040  |investigation|NEW               |
|2890051149  |investigation|NEW               |
|2876143063  |Approve      |NEW               |
|2825184514  |Approve      |NEW               |
|2890051036  |Approve      |NEW               |
|2876144991  |Approve      |NEW               |
|2890050138  |Approve      |NEW               |
|2876149200  |Approve      |NEW               |
|2890051037  |Approve      |NEW               |
|2876148251  |Approve      |NEW               |
|2876148994  |Approve      |NEW               |
|2890050583  |Approve      |NEW               |
|2876146161  |Approve      |NEW               |
|2890049889  |Approve      |NEW               |
|2890050979  |Query        |NEW               |
|2876149459  |Approve      |NEW               |
|2876148351  |Approve      |NEW               |
|2825185283  |Approve      |NEW               |
|2890050497  |Approve      |NEW               |
|2876146234  |Approve      |NEW               |
|2876146691  |Approve      |NEW               |
|2876144732  |Approve      |NEW               |
|2890050852  |investigation|NEW               |
|2876146156  |Approve      |NEW               |
|2890051049  |Query        |NEW               |
|2890050502  |Approve      |NEW               |
|2876146398  |Approve      |NEW               |
|2876144637  |Approve      |NEW               |
|2876147750  |Approve      |NEW               |
|2825184419  |Approve      |NEW               |
|2890049245  |Approve      |NEW               |
|2876145904  |Approve      |NEW               |
|2825185805  |Approve      |NEW               |
|2876148260  |Approve      |NEW               |
|2876148499  |Approve      |NEW               |
|2876149001  |Approve      |NEW               |
|2890049753  |Approve      |NEW               |
|2876147071  |Approve      |NEW               |
|2876147238  |Approve      |NEW               |
|2876149299  |Approve      |NEW               |
|2876149383  |Approve      |NEW               |
|2876149704  |Approve      |NEW               |
|2876149065  |Approve      |NEW               |
|2890050616  |investigation|NEW               |
|2876149093  |investigation|NEW               |
|2876149698  |Approve      |NEW               |
|2876149177  |investigation|NEW               |
|2876148927  |Query        |NEW               |
|2876149710  |Approve      |NEW               |
|2883045216  |Approve      |NEW               |
|2883045942  |Approve      |NEW               |
|2890051197  |investigation|NEW               |
|2890051102  |Approve      |NEW               |
|2883045945  |Approve      |NEW               |
|2883045949  |Approve      |NEW               |
|2890050944  |Approve      |PRE AND POST CLAIM|
|2890049525  |investigation|NEW               |
|2883045950  |Approve      |NEW               |
|2883045948  |Approve      |NEW               |
|2883045941  |investigation|NEW               |
|2876148611  |Approve      |NEW               |
|2883045943  |investigation|NEW               |
|2883045951  |Approve      |NEW               |
|2883045944  |Approve      |NEW               |
|2876149439  |investigation|NEW               |
|2846001990  |Repudiation  |NEW               |
|2876145871  |Approve      |PRE AND POST CLAIM|
|2876145443  |Approve      |NEW               |
|2876149107  |investigation|NEW               |
|2876149275  |Approve      |NEW               |
|2876146871  |Approve      |NEW               |
|2876147566  |Approve      |NEW               |
|2876149361  |investigation|PRE AND POST CLAIM|
|2890049777  |Approve      |NEW               |
|2876149019  |Repudiation  |NEW               |
|2846002005  |investigation|NEW               |
|2876149264  |Approve      |PRE AND POST CLAIM|
|2876149564  |Approve      |NEW               |
|2846002010  |Query        |NEW               |
|2846002012  |investigation|NEW               |
|2876127291  |Repudiation  |NEW               |
|2846001996  |investigation|NEW               |
|2846001999  |Approve      |NEW               |
|2876146875  |Approve      |NEW               |
|2890049890  |Approve      |NEW               |
|2876148990  |Approve      |CLAIM REOPEN      |
|2890051258  |Approve      |PRE AND POST CLAIM|
|2864029244  |Approve      |NEW               |
|2890050805  |investigation|NEW               |
|2890050440  |investigation|NEW               |
|2876149294  |Repudiation  |NEW               |
|2876149771  |Approve      |PRE AND POST CLAIM|
|2864029229  |investigation|NEW               |
|2876148118  |Approve      |PRE AND POST CLAIM|
|2890051257  |Approve      |NEW               |
|2890049468  |Approve      |NEW               |
|2892003111  |Approve      |NEW               |
|2890050051  |Approve      |NEW               |
|2883045960  |Approve      |NEW               |
|2890050251  |Approve      |NEW               |
|2876149775  |Approve      |PRE AND POST CLAIM|
|2876148470  |Approve      |NEW               |
|2876149322  |Approve      |PRE AND POST CLAIM|
|2890050037  |Approve      |NEW               |
|2890050919  |Repudiation  |NEW               |
|2890051270  |investigation|NEW               |
|2890049069  |Approve      |NEW               |
|2890051255  |Approve      |PRE AND POST CLAIM|
|2890050918  |Repudiation  |NEW               |
|2876149759  |Query        |PRE AND POST CLAIM|
|2876149772  |Approve      |NEW               |
|2890050952  |Approve      |NEW               |
|2890049879  |Approve      |NEW               |
|2883045957  |Approve      |NEW               |
|2890051143  |Approve      |NEW               |
|2890051194  |investigation|NEW               |
|2864029165  |Approve      |NEW               |
|2892003091  |investigation|NEW               |
|2890049861  |Approve      |NEW               |
|2876149076  |investigation|NEW               |
|2876146861  |Approve      |NEW               |
|2883045953  |Approve      |NEW               |
|2825185023  |Approve      |NEW               |
|2883045954  |Repudiation  |NEW               |
|2892003117  |investigation|NEW               |
|2876147399  |Approve      |NEW               |
|2876149304  |Repudiation  |PRE AND POST CLAIM|
|2846001932  |Approve      |NEW               |
|2864029159  |Approve      |NEW               |
|2825184864  |Approve      |NEW               |
|2876144746  |Approve      |NEW               |
|2890050729  |investigation|NEW               |
|2876145537  |Approve      |NEW               |
|2883045956  |Approve      |NEW               |
|2876146420  |Approve      |NEW               |
|2883045958  |Approve      |NEW               |
|2883045959  |Approve      |NEW               |
|2825184953  |Approve      |NEW               |
|2876146660  |Approve      |NEW               |
|2890050364  |Approve      |NEW               |
